question,correct_answer,option_b,option_c,option_d,category
Which Museum Is Featured In Night at the Museum?,Museum of Natural History,The Louvre,The Smithsonian,The British Museum,Entertainment
Which superhero is commonly known as Logan and sometimes as Weapon X?,Wolverine,Silver Surfer,Green Lantern,Aquaman,Entertainment
Which Magazine Does Miranda Work For In The Devil Wears Prada?,Runway,The Thread,Upper Elite,Fashion Bash,Entertainment
Who sings Blurred Lines?,Robin Thicke,Pharrell Williams,Nick Cannon,Pitbull,Music
The Playstation game console was developed by which company?,Sony,Nintendo,Sega,Capcom,Technology
Which part of his body did Charlie Chaplin insure?,Feet,Moustache,Hands,Face,Entertainment
What is the license plate of the DeLorean in the Back to the Future films?,OUTATIME,GOFUTURE,88TIMEGO,1TIME,Entertainment
What is the name of the element with the chemical symbol 'He'?,Helium,Hydrogen,Holmium,Hafnium,Science
Which is the largest ocean in the world?,Pacific Ocean,Atlantic Ocean,Arctic Ocean,Indian Ocean,Science
Which star is the brightest in the night sky?,Sirius A,Arcturus,North Star,Canopus,Science
Sodium Hydrogen Bicarbonate is the scientific name for what common thing?,Baking Soda,Carbonated Water,Cream of Tartar,Salt,Science
Which bird has the largest wingspan?,Albatross,Emperor Penguin,Dalmatian Pelican,Emu,Science
Which animal can be seen on the Porsche logo?,Horse,Cougar,Dog,Cheetah,General Knowledge
What type of scientist studies living plants?,Botanist,Geologist,Paleontologist,Entomologist,Science
Which of the following is NOT scientifically considered a fruit?,Broccoli,Pumpkin,Pear,Tomato,Science
How is the Earth protected from the effects of Solar Winds?,Magnetic field,Oxygen,The ozone layer,Gravity,Science
All species of lemurs are native to which island country?,Madagascar,Sri Lanka,Australia,Indonesia,Science
How many litres are there in a barrel of oil?,159,59,29,189,Science
Which British archaeologist discovered Tutankhamun's tomb?,Howard Carter,Thomas Young,Karl Richard Lepsius,Ippolito Rosellini,History
A lepidopterist studies which type of creature?,Butterflies,Birds,Fish,Ants,Science
A lobster's teeth are located in which part of its body?,Stomach,Mouth,Claws,Legs,Science
What do you call traditional Japanese female entertainers who act as hostesses?,Geisha,Hakama,Kimono,Maiko,Culture
Which city in India would you find the Taj Mahal in?,Agra,Bangalore,Chennai,Kolkata,Geography
The Aztecs used cocoa beans as what?,Currency,Drugs,Stress relievers,Weapon decorations,History
What was a samurai's original task?,Protect the nobility,Assassination,They were monks,Invade other countries,History
Mamma Mia is based on songs by which Swedish musical act?,ABBA,Bee Gees,Queen,Elton John,Music
"In Dr Jekyll and Mr Hyde, who is Hyde?",Jekyll's dark side,Jekyll's insane brother,Jekyll's son,Jekyll's self-made creature,Literature
What musical features the song 'If I Were a Rich Man'?,Fiddler on the Roof,The Music Man,My Fair Lady,Annie,Entertainment
"In Norse mythology, what is Thor the God of?",Thunder,Rain,War,Wisdom,Culture
Who was the second president of the USA?,John Adams,Thomas Jefferson,Benjamin Franklin,John Quincy Adams,History
Where is the Great Wall located?,China,Japan,South Korea,North Korea,Geography
What is the smallest country in the world?,Vatican City,Tobago,Maldives,Seychelles,Geography
Who was married to John F. Kennedy and was first lady from 1961–1963?,Jacqueline Kennedy Onassis,Mamie Eisenhower,Eleanor Roosevelt,Michelle Obama,History
What was the average life expectancy of an Englishman in the Middle Ages?,33 years,13 years,21 years,41 years,History
"In what year was the Salyut 1, the first space station, launched?",1971,1998,1956,2001,History
What year did the Chernobyl disaster occur?,1986,1984,1985,1987,History
Which country was NOT a Portuguese colony?,Colombia,Brazil,Angola,Mozambique,History
Which war was fought in South Africa between 1899 and 1902?,Second Boer War,Anglo-Zulu War,War of South Africa,Crimean War,History
True or false: All spiders are carnivorous?,True,False,,,Science
Which of these animals don't live in the wild in Australia?,Opossum,Kookaburra,Koala,Possum,Science
Hickory trees produce which types of nuts?,Pecans,Walnuts,Pistachios,Macadamia,Science
Which planet is known as the morning star and the evening star?,Venus,Saturn,Jupiter,Mars,Science
What colour skin does a polar bear have?,Black,White,Pink,Gray,Science
A Blue Whale has a heart roughly the size of a what?,VW Beetle,Basketball,Grapefruit,Peanut,Science
Which California wine region only produces 4% of California's wines?,Napa Valley,Snake River Valley,Sonoma,Los Carneros,Geography
Which country flag nicknamed 'The Maple Leaf' features a red maple leaf?,Canada,Turkey,Vietnam,Colombia,Geography
Which athlete won eight gold medals at a single Olympics?,Michael Phelps,Lloyd Spooner,Vera Caslavska,Agnes Keleti,Sports
What popular beverage once contained cocaine?,Coca-Cola,Powerade,Schweppes,Dr Pepper,Food & Drink
Which is the largest food and drink company in the world?,Nestlé,Pepsi,Danone,Kellogg Company,General Knowledge
Henry John Heinz founded a company specializing in which food product?,Ketchup,Mustard,Mayonnaise,Relish,Food & Drink
Which game's name is derived from the Swahili word meaning 'to build'?,Jenga,Lego,K'Nex,Kepla,General Knowledge
What is the primary ingredient in guacamole?,Avocado,Pineapple,Banana,Tomato,Food & Drink
"In bingo, which number is represented by 'two little ducks'?",22,11,59,14,General Knowledge
"At the 1996 Summer Olympics, what sport was the US team nicknamed the Magnificent 7?",Gymnastics,Track and Field,Diving,Swimming,Sports
How many players are on the ice per team in Ice Hockey?,6,8,5,7,Sports
What is sake made of?,Rice,Seafood,Wasabi,Soybeans,Food & Drink
What is the maximum time allowed to find a lost ball in Golf?,5 minutes,4 minutes,6 minutes,7 minutes,Sports
Which martial art has its origins in China?,Kung fu,Karate,Jujutsu,Krav Maga,Sports
"Worldwide, what is the third most popular drink?",Beer,Water,Tea,Coffee,Food & Drink
Which company was the first to use Santa Claus in an ad?,Coca-Cola,Walmart,Pepsi,Target,General Knowledge
What Italian brand was founded in 1921 in Florence?,Gucci,Hugo Boss,Dolce & Gabbana,Delpozo,General Knowledge
Which country does gouda cheese come from?,Netherlands,Denmark,Belgium,Switzerland,Food & Drink
What is Mickey Mouse's dog called?,Pluto,Bruce,Jude,Rex,Entertainment
What is the name of the largest planet in the Solar System?,Jupiter,Earth,Mars,Venus,Science
In which city is the Disney movie Ratatouille based?,Paris,Copenhagen,Dublin,London,Entertainment
What are Santa's little helpers called?,Elves,Fairies,Gremlins,Little People,General Knowledge
Which Italian city is famous for its leaning tower?,Pisa,Venice,Milan,Florence,Geography
What do Giant Pandas normally eat?,Bamboo,Corn,Fish,Bananas,Science
"In Finding Nemo, which country has Nemo been taken to?",Australia,England,Japan,New Zealand,Entertainment
What type of animals pull Santa's sleigh?,Reindeer,Dogs,Horses,Cats,General Knowledge
What color is the Grinch who stole Christmas?,Green,Blue,Purple,Brown,Entertainment
What is the name of the boy who owns Buzz Lightyear in Toy Story?,Andy,Woody,Jeremy,Jack,Entertainment
In Jungle Book what is the name of the bear?,Baloo,Dabloo,Chang,Mushu,Entertainment
"In Disney's Frozen, what is the name of the kingdom where Elsa and Anna live?",Arendelle,Caprica,Kalyyk,Laoag,Entertainment
Which color do you find at the top of a rainbow?,Red,Blue,Yellow,Green,Science
How much percentage of Earth's surface is covered by water?,71%,51%,61%,91%,Science
What was Martin Luther King Jr's famous speech commonly referred to as?,I Have a Dream,Freedom Fighters,Dead and Evil,Rise Up,History
Who directed the film Schindler's List?,Steven Spielberg,Martin Scorsese,Michael Bay,Christopher Nolan,Entertainment
"In The Shawshank Redemption, what is the main character's name played by Tim Robbins?",Andy Dufresne,Red,Ellis Boyd Redding,Warden Norton,Entertainment
Who won the Academy Award for Best Actress for her role in La La Land?,Emma Stone,Meryl Streep,Jennifer Lawrence,Natalie Portman,Entertainment
Which is the highest-grossing animated film of all time?,The Lion King,Toy Story 4,Frozen 2,Avatar,Entertainment
In which year was the first Academy Awards ceremony held?,1929,1927,1932,1951,Entertainment
Who played Jack Dawson in the film Titanic?,Leonardo DiCaprio,Tom Hanks,Brad Pitt,Matt Damon,Entertainment
What is the capital of France?,Paris,Berlin,Madrid,Rome,Geography
Who wrote Romeo and Juliet?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,Literature
In which year did the Titanic sink?,1912,1905,1920,1931,History
Which is the largest planet in our solar system?,Jupiter,Mars,Saturn,Venus,Science
Two countries have enclaves in Italy. Which are they?,San Marino and Vatican City,Austria and Germany,Argentina and Paraguay,Azerbaijan and Armenia,Geography
What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,Geography
What is the currency of Australia?,Dollar,Euro,Peso,Yen,General Knowledge
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,Science
What is the largest ocean on Earth?,Pacific Ocean,Indian Ocean,Atlantic Ocean,Arctic Ocean,Science
Who was the first President of the United States?,George Washington,Barack Obama,John Adams,Abraham Lincoln,History
What is the largest mammal in the world?,Blue Whale,Elephant,Giraffe,Polar Bear,Science
Who wrote To Kill a Mockingbird?,Harper Lee,J.K. Rowling,Sam Smith,F. Scott Fitzgerald,Literature
Which famous scientist developed the theory of relativity?,Albert Einstein,Isaac Newton,Galileo Galilei,Stephen Hawking,Science
In which year did World War II end?,1945,1943,1950,1939,History
Which is the largest desert in the world?,Antarctic Desert,Sahara Desert,Gobi Desert,Arctic Desert,Science
Who wrote The Great Gatsby?,F. Scott Fitzgerald,Ernest Hemingway,J.D. Salinger,Jane Austen,Literature
Which element has the chemical symbol 'O'?,Oxygen,Gold,Silver,Iron,Science
What is the national flower of Japan?,Cherry Blossom,Rose,Lily,Orchid,Culture
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Buenos Aires,Geography
Which Italian city is known as the City of Canals?,Venice,Rome,Naples,Milan,Geography
Which is the longest river in the world?,Nile River,Amazon River,Yangtze River,Mississippi River,Geography
Which planet is known as the Blue Planet?,Earth,Neptune,Uranus,Mercury,Science
What is the capital of Canada?,Ottawa,Vancouver,Toronto,Montreal,Geography
Who wrote the Harry Potter book series?,J.K. Rowling,J.R.R. Tolkien,George R.R. Martin,Suzanne Collins,Literature
In which year did the United States declare independence?,1776,1765,1789,1800,History
What is the currency of China?,Yuan,Yen,Won,Ringgit,General Knowledge
Who painted Starry Night?,Vincent van Gogh,Pablo Picasso,Claude Monet,Salvador Dalí,Art
What is the smallest prime number?,2,0,1,3,Science
Who directed the film Inception?,Christopher Nolan,Quentin Tarantino,David Fincher,James Cameron,Entertainment
What is the iconic weapon used by Jedi in Star Wars?,Lightsaber,Phaser,Blaster,Sonic Screwdriver,Entertainment
Who played Tony Stark in the Marvel Cinematic Universe?,Robert Downey Jr.,Chris Hemsworth,Chris Evans,Mark Ruffalo,Entertainment
"In Forrest Gump, Gump's mother refers to life as a?",A box of chocolates,A puzzle,A rollercoaster,A journey,Entertainment
Who directed the animated film Spirited Away?,Hayao Miyazaki,Makoto Shinkai,Isao Takahata,Mamoru Hosoda,Entertainment
Who played the Joker in The Dark Knight?,Heath Ledger,Joaquin Phoenix,Jack Nicholson,Jared Leto,Entertainment
What is the title of the first James Bond film?,Dr. No,Goldfinger,Skyfall,Casino Royale,Entertainment
"In The Matrix, what is Neo's real name?",Thomas Anderson,John Smith,David Johnson,Michael Brown,Entertainment
Who won the Academy Award for Best Actor 2016 for The Revenant?,Leonardo DiCaprio,Matthew McConaughey,Christian Bale,Joaquin Phoenix,Entertainment
Which film holds the record for highest-grossing collection of all time (as of 2022)?,Avatar,Avengers: Endgame,Titanic,The Lion King (2019),Entertainment
"In Casablanca, what is the name of the nightclub owned by Rick Blaine?",Rick's Café Américain,Blue Parrot,The Red Room,Café de Paris,Entertainment
Who directed E.T. the Extra-Terrestrial (1982)?,Steven Spielberg,George Lucas,Ridley Scott,James Cameron,Entertainment
Who played Vito Corleone in The Godfather?,Marlon Brando,Robert De Niro,Al Pacino,James Caan,Entertainment
The Academy Award for Best Picture in 2020 was won by which film?,Parasite,1917,Joker,Once Upon a Time in Hollywood,Entertainment
"In The Wizard of Oz, what color is the Wicked Witch of the West's skin?",Green,Blue,Red,Yellow,Entertainment
Who directed The Grand Budapest Hotel?,Wes Anderson,Coen Brothers,Quentin Tarantino,Christopher Nolan,Entertainment
What is the name of the AI in 2001: A Space Odyssey?,HAL 9000,SKYNET,JARVIS,GLaDOS,Entertainment
Which animated film features a character named Simba?,The Lion King,Finding Nemo,Madagascar,Shrek,Entertainment
Who played Hermione Granger in the Harry Potter film series?,Emma Watson,Emma Stone,Emma Roberts,Emma Thompson,Entertainment
What is the title of Edvard Munch's painting depicting a figure with a distorted face?,The Scream,The Starry Night,The Persistence of Memory,Guernica,Art
Who directed the science fiction film Blade Runner?,Ridley Scott,Stanley Kubrick,George Lucas,Steven Spielberg,Entertainment
"In Gone with the Wind, what is Scarlett O'Hara's home named?",Tara,Twelve Oaks,Thornfield,Belle Reeve,Entertainment
Who played Katniss Everdeen in The Hunger Games?,Jennifer Lawrence,Emma Stone,Shailene Woodley,Scarlett Johansson,Entertainment
Which painting features a woman with a mysterious smile by Leonardo da Vinci?,Mona Lisa,Starry Night,The Persistence of Memory,Guernica,Art
Who directed Pulp Fiction?,Quentin Tarantino,Martin Scorsese,Steven Spielberg,Christopher Nolan,Entertainment
Who played Hannibal Lecter in The Silence of the Lambs?,Anthony Hopkins,Jack Nicholson,Morgan Freeman,Robert De Niro,Entertainment
What is the title of the musical about Alexander Hamilton?,Hamilton,Les Misérables,Rent,The Phantom of the Opera,Entertainment
Who directed The Social Network?,David Fincher,Christopher Nolan,Martin Scorsese,Darren Aronofsky,Entertainment
What is the name of the school in Harry Potter?,Hogwarts School of Witchcraft and Wizardry,Beauxbatons Academy,Durmstrang Institute,Ilvermorny School,Literature
Who played the Bride in Kill Bill?,Uma Thurman,Angelina Jolie,Charlize Theron,Halle Berry,Entertainment
The music score for Jurassic Park was composed by?,John Williams,Hans Zimmer,Ennio Morricone,Danny Elfman,Entertainment
Who played Aragorn in The Lord of the Rings trilogy?,Viggo Mortensen,Orlando Bloom,Sean Bean,Elijah Wood,Entertainment
What is the title of Salvador Dalí's painting featuring a melting clock?,The Persistence of Memory,Starry Night,Guernica,The Scream,Art
Who directed The Great Gatsby (2013)?,Baz Luhrmann,Martin Scorsese,Quentin Tarantino,Christopher Nolan,Entertainment
Who played Lt. Aldo Raine in Inglourious Basterds?,Brad Pitt,Leonardo DiCaprio,Christoph Waltz,Michael Fassbender,Entertainment
Who played Edward Scissorhands?,Johnny Depp,Leonardo DiCaprio,Brad Pitt,Tom Cruise,Entertainment
What is the title of the painting by Grant Wood featuring a farmer and his daughter?,American Gothic,Whistler's Mother,The Birth of Venus,The Last Supper,Art
Who directed The Breakfast Club?,John Hughes,Wes Anderson,Quentin Tarantino,Steven Spielberg,Entertainment
What is the chemical symbol for gold?,Au,Ag,Fe,Hg,Science
Which planet is known as the Ring Planet?,Saturn,Venus,Mars,Jupiter,Science
What is the largest organ in the human body?,Skin,Heart,Liver,Brain,Science
What is the chemical symbol for water?,H2O,O2,CO2,N2,Science
Which gas is absorbed by plants during photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Science
What is the smallest unit of matter?,Atom,Molecule,Cell,Proton,Science
What is the speed of light in vacuum?,"300,000 km/s","150,000 miles/s","186,282 miles/s","500,000 km/s",Science
Which scientist is credited with the discovery of penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Jonas Salk,Science
What is the powerhouse of the cell?,Mitochondria,Nucleus,Endoplasmic reticulum,Golgi apparatus,Science
What is the chemical formula for glucose?,C6H12O6,CO2,H2O,CH4,Science
What is the SI unit of force?,Newton,Watt,Joule,Volt,Science
"Who was the first known Emperor of China, known for the Terracotta army?",Qin Shi Huang,Genghis Khan,Emperor Wu,Emperor Han,History
What was the primary language used in the Byzantine Empire?,Greek,Latin,Arabic,Old English,History
In what year did the Berlin Wall fall?,1989,1985,1991,1995,History
Which two South American countries do not share a border with Brazil?,Chile and Ecuador,Argentina and Chile,Venezuela and Colombia,Peru and Ecuador,Geography
Who invented the World Wide Web?,Tim Berners-Lee,Bill Gates,Steve Jobs,Mark Zuckerberg,Technology
What is the name of the first artificial satellite launched into space?,Sputnik 1,Explorer 1,Vanguard 1,Hubble Space Telescope,History
What primarily causes the greenhouse effect on Earth?,Carbon Dioxide,Oxygen,Methane,Nitrous Oxide,Science
What is the process by which a caterpillar transforms into a butterfly?,Metamorphosis,Photosynthesis,Osmosis,Respiration,Science
What is the rarest naturally occurring element on Earth?,Astatine,Francium,Promethium,Moscovium,Science
What is the name of the hypothetical tunnel connecting two separate points in spacetime?,Wormhole,Singularity,Quantum Leap,Time Vortex,Science
Which substance was believed to transform base metals into gold in medieval alchemy?,Philosopher's Stone,Elixir of Life,Mercury,Prima Materia,History
Which city is considered the world's oldest continually inhabited city?,Damascus,Athens,Rome,Cairo,History
Who is credited with the invention of the daguerreotype?,Louis Daguerre,Thomas Edison,George Eastman,Eadweard Muybridge,History
What is the name of the spacecraft that carried the first humans to the Moon?,Apollo 11,Gemini 4,Mercury 7,Soyuz 1,History
What is the longest river in Africa?,Nile,Congo,Zambezi,Niger,Geography
Which is the smallest continent by land area?,Australia,Europe,Antarctica,South America,Geography
What is the capital of Argentina?,Buenos Aires,Santiago,Lima,Montevideo,Geography
Which country has the most natural lakes?,Canada,Russia,USA,Finland,Geography
What is the tallest mountain in the world?,Mount Everest,K2,Kangchenjunga,Lhotse,Geography
What is the capital of South Africa?,Pretoria (executive),Cape Town,Johannesburg,Durban,Geography
Which country is the largest by total area?,Russia,Canada,USA,China,Geography
What ocean lies between Africa and Australia?,Indian Ocean,Pacific Ocean,Atlantic Ocean,Southern Ocean,Geography
Which country has the longest coastline in the world?,Canada,Russia,Indonesia,Norway,Geography
What is the capital of Egypt?,Cairo,Alexandria,Luxor,Aswan,Geography
What is the currency of Japan?,Yen,Won,Yuan,Ringgit,General Knowledge
In which country is the Amazon River located?,Brazil,Peru,Colombia,Venezuela,Geography
Which mountain range separates Europe from Asia?,Ural Mountains,Alps,Himalayas,Caucasus,Geography
What is the largest country in Africa by area?,Algeria,Sudan,Democratic Republic of Congo,Libya,Geography
What is the capital of India?,New Delhi,Mumbai,Kolkata,Chennai,Geography
Who was the first woman to win a Nobel Prize?,Marie Curie,Mother Teresa,Malala Yousafzai,Wangari Maathai,History
In which year did World War I begin?,1914,1912,1916,1918,History
Who was the first man to walk on the moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Alan Shepard,History
Which empire was ruled by Genghis Khan?,Mongol Empire,Roman Empire,Ottoman Empire,Persian Empire,History
In which year did the French Revolution begin?,1789,1776,1799,1815,History
Who was the first female Prime Minister of the UK?,Margaret Thatcher,Theresa May,Angela Merkel,Indira Gandhi,History
"Which ancient wonder was located in Alexandria, Egypt?",Lighthouse of Alexandria,Colossus of Rhodes,Hanging Gardens,Temple of Artemis,History
Who wrote the Communist Manifesto?,Karl Marx and Friedrich Engels,Vladimir Lenin,Leon Trotsky,Joseph Stalin,History
In which year did the Cold War end?,1991,1985,1989,1995,History
What was the name of the ship that Charles Darwin sailed on?,HMS Beagle,HMS Endeavour,HMS Victory,HMS Bounty,History
Who was the last pharaoh of ancient Egypt?,Cleopatra VII,Ramesses II,Tutankhamun,Nefertiti,History
Which country was the first to give women the right to vote?,New Zealand,USA,UK,Australia,History
What year was the Magna Carta signed?,1215,1066,1415,1348,History
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Guglielmo Marconi,Technology
Which US president was assassinated in 1865?,Abraham Lincoln,John F. Kennedy,James Garfield,William McKinley,History
How many bones are in the adult human body?,206,208,210,204,Science
What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon,Science
Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,Science
What is the speed of sound at sea level?,343 m/s,300 m/s,500 m/s,220 m/s,Science
How many chromosomes do humans have?,46,44,48,23,Science
What is the hardest natural substance on Earth?,Diamond,Quartz,Corundum,Topaz,Science
Which organ produces insulin?,Pancreas,Liver,Kidney,Stomach,Science
What is the chemical symbol for iron?,Fe,Ir,In,I,Science
How many planets are in our solar system?,8,7,9,10,Science
What force keeps planets in orbit around the Sun?,Gravity,Magnetism,Centrifugal force,Nuclear force,Science
What is the boiling point of water in Celsius?,100°C,90°C,110°C,212°C,Science
Which gas makes up most of the Sun?,Hydrogen,Helium,Oxygen,Nitrogen,Science
What is the name of the first cloned mammal?,Dolly the sheep,Dolly the cow,Polly the sheep,Molly the sheep,Science
How far is the Earth from the Sun (approximately)?,150 million km,100 million km,200 million km,93 million km,Science
What is the atomic number of carbon?,6,4,8,12,Science
Who is known as the Queen of Pop?,Madonna,Lady Gaga,Beyoncé,Rihanna,Music
Which band performed the song Bohemian Rhapsody?,Queen,Led Zeppelin,The Rolling Stones,The Beatles,Music
Which instrument has 88 keys?,Piano,Organ,Harpsichord,Accordion,Music
What was the Beatles' first UK number one hit?,From Me to You,Love Me Do,Please Please Me,She Loves You,Music
Which US state is known as the birthplace of jazz?,Louisiana,Tennessee,Mississippi,New York,Music
Who composed the Four Seasons?,Antonio Vivaldi,Johann Sebastian Bach,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Music
What is the highest singing voice in classical music?,Soprano,Alto,Tenor,Mezzo-soprano,Music
Which artist holds the record for most Grammy Awards?,Beyoncé,Georg Solti,Jay-Z,Taylor Swift,Music
What is the name of Ed Sheeran's debut album?,Plus (+),Multiply (×),Divide (÷),Subtract (-),Music
Which country does reggae music originate from?,Jamaica,Cuba,Trinidad,Haiti,Music
Who sang the hit song Thriller?,Michael Jackson,Prince,David Bowie,Stevie Wonder,Music
Which musical note has the longest duration?,Whole note,Half note,Quarter note,Eighth note,Music
What is the genre of music that combines rhythm and blues with jazz?,Soul,Funk,Disco,Hip-hop,Music
Who wrote the opera The Magic Flute?,Mozart,Beethoven,Verdi,Wagner,Music
What does 'forte' mean in music?,Loud,Soft,Fast,Slow,Music
How many players are on a standard soccer team?,11,9,10,12,Sports
Which country has won the most FIFA World Cups?,Brazil,Germany,Italy,Argentina,Sports
In which sport would you perform a slam dunk?,Basketball,Volleyball,Tennis,Baseball,Sports
What is the maximum score in a single game of bowling?,300,250,200,400,Sports
How many holes are in a standard golf course?,18,9,27,36,Sports
In which sport is the Stanley Cup awarded?,Ice Hockey,Basketball,Baseball,Football,Sports
Which country invented the sport of cricket?,England,Australia,India,South Africa,Sports
How long is a marathon?,42.195 km,40 km,45 km,26 miles,Sports
What is the national sport of Canada?,Lacrosse,Ice Hockey,Curling,Basketball,Sports
"In tennis, what is the term for zero points?",Love,Zero,Nil,Duck,Sports
Which country has won the most Olympic gold medals in total?,USA,Soviet Union,China,UK,Sports
In which sport does a player use a shuttlecock?,Badminton,Tennis,Squash,Racquetball,Sports
How many points is a try worth in rugby union?,5,3,4,6,Sports
What color belt is typically the highest rank in judo?,Black,Red,Brown,White,Sports
In which year were the first modern Olympic Games held?,1896,1900,1904,1892,Sports
What does 'HTTP' stand for?,HyperText Transfer Protocol,High-Tech Transfer Protocol,HyperText Transmission Protocol,Hyper Transfer Text Protocol,Technology
Which company created the iPhone?,Apple,Samsung,Google,Microsoft,Technology
What social media platform is associated with tweets?,Twitter,Facebook,Instagram,LinkedIn,Technology
Who founded Microsoft?,Bill Gates and Paul Allen,Bill Gates and Steve Jobs,Steve Jobs and Steve Wozniak,Mark Zuckerberg,Technology
What does 'CPU' stand for?,Central Processing Unit,Computer Processing Unit,Core Processing Unit,Central Program Unit,Technology
What year was the first iPhone released?,2007,2005,2009,2010,Technology
Which company owns YouTube?,Google,Facebook,Amazon,Microsoft,Technology
What does 'Wi-Fi' stand for?,Wireless Fidelity,Wireless Frequency,Wide Field,Wireless Fiber,Technology
In what year was Facebook founded?,2004,2002,2006,2003,Technology
Which programming language is named after a coffee?,Java,Python,Ruby,Scala,Technology
What does 'URL' stand for?,Uniform Resource Locator,Universal Resource Link,Unified Resource Location,Uniform Reference Locator,Technology
Which tech company uses the motto 'Don't be evil'?,Google,Apple,Microsoft,Amazon,Technology
What is the name of Amazon's virtual assistant?,Alexa,Siri,Cortana,Bixby,Technology
Which country invented paper?,China,Egypt,Mesopotamia,India,History
